"업체(시설)명","인허가번호","업종코드","업종명","지도점검일자","점검기관","점검기관명","지도점검구분","처분대상여부","점검사항","점검결과","소재지도로명주소","소재지주소"
"(주)우주카독크","323000021200300011","21","대기배출업소관리","20171130","3230000","서울특별시 송파구","수시","N","","","서울특별시 송파구 동남로24길 17 (오금동)","서울특별시 송파구 오금동 155-10번지 "
"(주)건양자동차","323000021200500004","21","대기배출업소관리","20171130","3230000","서울특별시 송파구","수시","N","배출시설 및 방지시설 운영 사항 점검","","서울특별시 송파구 오금로35길 46 (오금동)","서울특별시 송파구 오금동 39번지 "
"국립경찰병원","323000022198900003","22","폐수배출업소관리","20171122","3230000","서울특별시 송파구","정기","N","배출시설 및 방지시설 적정 운영여부 점검","","서울특별시 송파구 송이로 123  (가락동)","서울특별시 송파구 가락동 58번지 "
"(주)리클린","323000022200900001","22","폐수배출업소관리","20171122","3230000","서울특별시 송파구","정기","N","배출시설 및 방지시설 적정 운영여부 점검","","서울특별시 송파구 헌릉로 793 (장지동 송파구 자원순환공원)","서울특별시 송파구 장지동 692-2번지 "
"삼광교통(주)","323000022200800001","22","폐수배출업소관리","20171121","3230000","서울특별시 송파구","정기","N","배출시설 및 방지시설 운영 사항 점검","","서울특별시 송파구 충민로6길 67  (장지동)","서울특별시 송파구 장지동 863-4번지 "
"대영운수(주)","323000022199600200","22","폐수배출업소관리","20171121","3230000","서울특별시 송파구","정기","N","배출시설 및 방지시설 운영 사항 점검","","서울특별시 송파구 충민로6길 61-22 (장지동)","서울특별시 송파구 장지동 863-2번지 "
"승일운수(주)","323000022200800003","22","폐수배출업소관리","20171121","3230000","서울특별시 송파구","정기","N","배출시설 및 방지시설 운영 사항 점검","","서울특별시 송파구 충민로6길 61-6  (장지동)","서울특별시 송파구 장지동 863번지 "
"(주)신일씨엠","323000022199900602","22","폐수배출업소관리","20171121","3230000","서울특별시 송파구","정기","N","배출시설 및 방지시설 운영 사항 점검","","","서울특별시 송파구 장지동 738-17번지 외 3필지 "
"돈방자동차공업사","323000022200200699","22","폐수배출업소관리","20171101","3230000","서울특별시 송파구","정기","N","배출시설 및 방지시설 적정운영 여부","","서울특별시 송파구 송이로30길 31  (문정동)","서울특별시 송파구 문정동 91-15번지 "
"(주)강동모터스","323000021200400055","21","대기배출업소관리","20171026","3230000","서울특별시 송파구","정기","N","배출시설 및 방지시설 운영 사항 점검","","서울특별시 송파구 백제고분로31길 2-18 (삼전동)","서울특별시 송파구 삼전동 133-3번지 "
